epoch,step,tr_acc,tr_loss,val_acc,val_loss
0,499,66.9921875,0.6480151744479391,,
0,999,69.82421875,0.6323790133098899,,
0,1499,69.140625,0.6353982461358972,,
0,1736,,,3669.162835856828,0.643350993822903
1,1999,67.3828125,0.638361597839484,,
1,2499,67.96875,0.6376388458663599,,
1,2999,68.84765625,0.6373112774479959,,
1,3473,,,3668.7120628377697,0.6433166399981811
2,3499,71.484375,0.6346487245182786,,
2,3999,68.84765625,0.6383988226616973,,
2,4499,70.41015625,0.6377622753699009,,
2,4999,70.41015625,0.6336376506439629,,
2,5210,,,3668.0973512978117,0.6433229913846239
3,5499,69.7265625,0.6370416649481365,,
3,5999,65.72265625,0.6410699738787475,,
3,6499,68.359375,0.6465470458389676,,
3,6947,,,3683.792270293901,0.6439946845822474
4,6999,68.9453125,0.6385324931201661,,
4,7499,67.08984375,0.6430040938080241,,
4,7999,69.921875,0.6345526908313304,,
4,8499,70.3125,0.6380388974080975,,
4,8684,,,3683.801640733484,0.6439945993926126
5,8999,69.82421875,0.63786855456974,,
5,9499,70.41015625,0.6321193166136966,,
5,9999,69.921875,0.6391063140434114,,
5,10421,,,3683.794934080774,0.6439942207048172
6,10499,68.5546875,0.6422247560798435,,
6,10999,70.5078125,0.6252365093309853,,
6,11499,67.96875,0.6362496540741059,,
6,11999,69.43359375,0.6331798315815238,,
6,12158,,,3683.9293838596213,0.643992278000752
7,12499,69.23828125,0.6334521282252338,,
7,12999,68.1640625,0.6339514246249083,,
7,13499,67.87109375,0.643021663759729,,
7,13895,,,3683.708758732262,0.6439944408217297
8,13999,70.1171875,0.6437430459627147,,
8,14499,66.30859375,0.6510175748606303,,
8,14999,68.9453125,0.6444632505294017,,
8,15499,68.75,0.636076745500685,,
8,15632,,,3683.7727661335184,0.6439896633159277
9,15999,68.26171875,0.6397025060937553,,
9,16499,71.484375,0.6346389800651242,,
9,16999,69.62890625,0.6401663986150945,,
9,17369,,,3683.697256535005,0.6439881369521446
10,17499,69.82421875,0.6416182212748367,,
10,17999,69.3359375,0.637103750091183,,
10,18499,68.5546875,0.6364654172442392,,
10,18999,69.82421875,0.6365045956262665,,
10,19106,,,3683.552953449425,0.6439845239533846
11,19499,67.67578125,0.6378318860949392,,
11,19999,70.8984375,0.6329891949980986,,
11,20499,67.578125,0.6511701237351839,,
11,20843,,,3683.7492632233857,0.6439943765193226
12,20999,70.5078125,0.6350137082612591,,
12,21499,66.30859375,0.6532027978526728,,
12,21999,68.45703125,0.638491060734973,,
12,22499,68.75,0.637718133458413,,
12,22580,,,3683.7598181408443,0.6439943589492008
13,22999,68.1640625,0.6335173244830181,,
13,23499,67.1875,0.6376828598478641,,
13,23999,67.96875,0.6368544059080861,,
13,24317,,,3683.782899713822,0.6439943950421402
14,24499,70.80078125,0.6375661316187912,,
14,24999,67.1875,0.6455501453520192,,
14,25499,67.7734375,0.6375048446909024,,
14,25999,67.28515625,0.6390904074278314,,
14,26054,,,3683.7988363075256,0.6439944588502675
15,26499,67.08984375,0.6494738400014164,,
15,26999,70.01953125,0.6444740794003709,,
15,27499,69.43359375,0.6294135189768726,,
15,27791,,,3683.7999986062164,0.6439944634823671
16,27999,66.50390625,0.6481398330387569,,
16,28499,69.7265625,0.6257274416664284,,
16,28999,66.89453125,0.6410265986582324,,
16,29499,66.40625,0.6458629376165154,,
16,29528,,,3683.7990799704316,0.6439944572296125
17,29999,69.53125,0.6409607964700644,,
17,30499,65.625,0.647956973311079,,
17,30999,69.23828125,0.6359647735594578,,
17,31265,,,3683.7398255235676,0.6439943869864871
18,31499,69.921875,0.6350204192636734,,
18,31999,68.9453125,0.6484104590851366,,
18,32499,69.82421875,0.6435392645220898,,
18,32999,68.1640625,0.6412716599459619,,
18,33002,,,3683.7939535912737,0.6439944323341983
19,33499,68.06640625,0.6419686514986824,,
19,33999,67.87109375,0.6396498686057308,,
19,34499,68.75,0.6414963736229817,,
19,34739,,,3683.7907791097787,0.6439944190714285
20,34999,68.75,0.6495301411840799,,
20,35499,69.62890625,0.6440599363380936,,
20,35999,69.23828125,0.6389621719956852,,
20,36476,,,3683.801124460435,0.6439944666139945
21,36499,67.28515625,0.6458708425078101,,
21,36999,70.703125,0.6370532338072641,,
21,37499,66.69921875,0.6397185333220383,,
21,37999,68.359375,0.6403719941780481,,
21,38213,,,3683.7956658333715,0.6439944402137262
22,38499,68.65234375,0.6412032050546003,,
22,38999,70.703125,0.6338513339547566,,
22,39499,70.1171875,0.633526611159511,,
22,39950,,,3683.793202642109,0.6439944292951885
23,39999,68.9453125,0.6354268591961905,,
23,40499,68.65234375,0.629225844544212,,
23,40999,66.30859375,0.6455436292228455,,
23,41499,68.5546875,0.6432289273841427,,
23,41687,,,3683.7938648613203,0.6439944318146779
24,41999,67.87109375,0.6391908531776119,,
24,42499,68.5546875,0.6390644214301839,,
24,42999,64.84375,0.6466631391805844,,
24,43424,,,3683.80100262095,0.6439944656420992
