epoch,step,tr_acc,tr_loss,val_dcg@10,val_loss
0,499,0.50222247838974,0.11927017569541931,,
0,999,0.4803556203842163,0.09871169179677963,,
0,1499,0.4295809864997864,0.10168266296386719,,
0,1736,,,0.33399254083633423,0.0953393206000328
1,1999,0.5203294157981873,0.09800329059362411,,
1,2499,0.487321674823761,0.08953240513801575,,
1,2999,0.6178442239761353,0.0921158418059349,,
1,3473,,,0.4877623915672302,0.09219512343406677
2,3499,0.5694901347160339,0.09265389293432236,,
2,3999,0.6064229011535645,0.0886991024017334,,
2,4499,0.6041805148124695,0.09461376816034317,,
2,4999,0.6155444979667664,0.08955865353345871,,
2,5210,,,0.6185306906700134,0.08534394949674606
3,5499,0.6505082845687866,0.08790457248687744,,
3,5999,0.6617339849472046,0.09052860736846924,,
3,6499,0.6613545417785645,0.08318385481834412,,
3,6947,,,0.6967876553535461,0.08317610621452332
4,6999,0.6835753321647644,0.09036995470523834,,
4,7499,0.6899153590202332,0.08424478769302368,,
4,7999,0.6642409563064575,0.08284571766853333,,
4,8499,0.7160631418228149,0.08174242079257965,,
4,8684,,,0.7217026352882385,0.08072665333747864
5,8999,0.667975902557373,0.08980022370815277,,
5,9499,0.7597100734710693,0.07739871740341187,,
5,9999,0.6966481804847717,0.07907778024673462,,
5,10421,,,0.7292608022689819,0.0799083411693573
6,10499,0.6962735652923584,0.08670973777770996,,
6,10999,0.7174745798110962,0.0782037004828453,,
6,11499,0.7163292169570923,0.08506330847740173,,
6,11999,0.7148162722587585,0.08206182718276978,,
6,12158,,,0.7457132339477539,0.07796363532543182
7,12499,0.6775875091552734,0.0834907740354538,,
7,12999,0.71989905834198,0.07415199279785156,,
7,13499,0.7303718328475952,0.08188643306493759,,
7,13895,,,0.7327553629875183,0.07750653475522995
8,13999,0.725493848323822,0.08513523638248444,,
8,14499,0.6956554651260376,0.0815732330083847,,
8,14999,0.7681924104690552,0.0834108293056488,,
8,15499,0.7426106929779053,0.08069312572479248,,
8,15632,,,0.7309178113937378,0.07575217634439468
9,15999,0.6821097135543823,0.07659246772527695,,
9,16499,0.7650907039642334,0.07680433988571167,,
9,16999,0.7490171194076538,0.07957524061203003,,
9,17369,,,0.7563591003417969,0.07562880218029022
10,17499,0.6964675188064575,0.08143331110477448,,
10,17999,0.7915563583374023,0.08124717324972153,,
10,18499,0.7607805728912354,0.0752565860748291,,
10,18999,0.7370840311050415,0.07397913932800293,,
10,19106,,,0.7577695846557617,0.0759463906288147
11,19499,0.7563992738723755,0.08018822968006134,,
11,19999,0.6858999729156494,0.08510825037956238,,
11,20499,0.7614642381668091,0.0813935250043869,,
11,20843,,,0.7752554416656494,0.07448069751262665
12,20999,0.7508690357208252,0.07608860731124878,,
12,21499,0.7583929300308228,0.07347701489925385,,
12,21999,0.779977560043335,0.0778166651725769,,
12,22499,0.7747164964675903,0.07557119429111481,,
12,22580,,,0.7956969738006592,0.07385890930891037
13,22999,0.751570999622345,0.0773310512304306,,
13,23499,0.7102913856506348,0.07372790575027466,,
13,23999,0.7536565661430359,0.07384684681892395,,
13,24317,,,0.7659158706665039,0.07420129328966141
14,24499,0.799106240272522,0.0750250592827797,,
14,24999,0.7254061698913574,0.08063066005706787,,
14,25499,0.7720739245414734,0.06969866901636124,,
14,25999,0.7163084745407104,0.07795050740242004,,
14,26054,,,0.7630447745323181,0.07329048961400986
15,26499,0.7360520362854004,0.07525242120027542,,
15,26999,0.7472871541976929,0.077254518866539,,
15,27499,0.7657679319381714,0.07303784042596817,,
15,27791,,,0.7857699394226074,0.06997959315776825
16,27999,0.7664881944656372,0.07578356564044952,,
16,28499,0.7605294585227966,0.06808073818683624,,
16,28999,0.7497067451477051,0.0702514499425888,,
16,29499,0.7922680974006653,0.07220866531133652,,
16,29528,,,0.7881388664245605,0.06953957676887512
17,29999,0.767819881439209,0.07185935974121094,,
17,30499,0.7660568952560425,0.06932958215475082,,
17,30999,0.7845321893692017,0.06736764311790466,,
17,31265,,,0.7781229615211487,0.06914179027080536
18,31499,0.754146933555603,0.07292808592319489,,
18,31999,0.7686986923217773,0.07270124554634094,,
18,32499,0.7664899230003357,0.06911137700080872,,
18,32999,0.7792394757270813,0.06254534423351288,,
18,33002,,,0.7794743180274963,0.06895197927951813
19,33499,0.7522993087768555,0.07444708049297333,,
19,33999,0.7656826376914978,0.06797176599502563,,
19,34499,0.7441694736480713,0.06833489239215851,,
19,34739,,,0.7758830785751343,0.0686444416642189
20,34999,0.7622652053833008,0.07321318984031677,,
20,35499,0.7614293098449707,0.07002198696136475,,
20,35999,0.7980470657348633,0.07338239252567291,,
20,36476,,,0.7853161096572876,0.06840918958187103
21,36499,0.7371503114700317,0.0723743736743927,,
21,36999,0.775863528251648,0.0755956843495369,,
21,37499,0.7418657541275024,0.0715755745768547,,
21,37999,0.7463986873626709,0.06950631737709045,,
21,38213,,,0.7846836447715759,0.06839040666818619
22,38499,0.7938356399536133,0.06571540236473083,,
22,38999,0.7883557081222534,0.06955409049987793,,
22,39499,0.7996416091918945,0.06655362248420715,,
22,39950,,,0.7822518944740295,0.06802909821271896
23,39999,0.7780582904815674,0.07221953570842743,,
23,40499,0.7501953840255737,0.06652846932411194,,
23,40999,0.7474198341369629,0.07172317057847977,,
23,41499,0.7346372008323669,0.07057293504476547,,
23,41687,,,0.770179808139801,0.06817804276943207
24,41999,0.7505604028701782,0.0680270791053772,,
24,42499,0.7449477910995483,0.06845590472221375,,
24,42999,0.7277880907058716,0.06723055243492126,,
24,43424,,,0.7779896855354309,0.06790322810411453
